hromada_code,hromada_name,oblast_name,raion_name,type,lat_center,lon_center,n_settlements,square,total_popultaion_2022,urban_pct,mountain_hromada,near_seas,distance_to_russia_belarus,distance_to_eu,sum_osbb_2020,train_station,occipied_before_2022,war_zone_10_10_2022,distance_to_frontline_km,currently_occupied,frontline_as_of_date,oblast_attack_events_last8wk,oblast_attack_events_since_2025,attacks_as_of_week,documented_powerplant_damage_score,documented_powerplant_damage_basis,documented_powerplant_facilities,oblast_documented_facilities,frontline_occupation_flag,outage_strike_component_norm,outage_risk_proxy
UA05020010000053508,Агрономічна,Вінницька,Вінницький,сільська,49.1927696,28.3720314,6,86.1,9361,0,NA,NA,248.52829548306,152.590620608515,8,0,0,0,373.1,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020030000031457,Вінницька,Вінницька,Вінницький,міська,49.2320162,28.467975,9,256.6,387439,0.957580419111137,NA,NA,243.529695811495,160.584423598527,656,1,0,0,372.0,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020050000066991,Вороновицька,Вінницька,Вінницький,селищна,49.1117881,28.6889425,21,373.5,17127,0.364687335785602,NA,NA,255.995286469173,163.193829425156,1,1,0,0,351.6,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020070000010139,Гніванська,Вінницька,Вінницький,міська,49.0933696,28.338343,11,244.5,18446,0.6609020925946,NA,NA,259.781765033516,143.054702929842,24,1,0,0,366.3,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020090000067118,Іллінецька,Вінницька,Вінницький,міська,49.1136358,29.2024356,30,469.3,21123,0.525256829048904,NA,NA,251.90363953481,192.999037570323,4,1,0,0,330.2,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020110000052014,Липовецька,Вінницька,Вінницький,міська,49.2296415,29.0642148,39,614.8,20302,0.391981085607329,NA,NA,239.573891158715,192.515401996093,6,1,0,0,346.5,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020130000056031,Літинська,Вінницька,Вінницький,селищна,49.3232593,28.0837586,36,587.4,21124,0.309931831092596,NA,NA,237.333773317172,150.638244345057,NA,1,0,0,397.7,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020150000074651,Лука-Мелешківська,Вінницька,Вінницький,сільська,49.173946,28.495565,13,166.2,11272,0,NA,NA,249.815090683434,157.521880650821,NA,0,0,0,365.7,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020170000049432,Немирівська,Вінницька,Вінницький,міська,48.9654035,28.8430131,53,676.9,27959,0.408491004685432,NA,NA,270.429348896359,162.062517582683,41,0,0,0,331.8,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020190000015755,Оратівська,Вінницька,Вінницький,селищна,49.19472,29.53056,52,837.4,18365,0.146692077320991,NA,NA,240.279610015028,217.936889698488,NA,1,0,0,326.1,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020210000033427,Погребищенська,Вінницька,Вінницький,міська,49.4848166,29.2579157,60,1202.3,27074,0.340141833493389,NA,NA,210.532016647173,221.574163902028,3,0,0,0,363.8,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020230000029909,Стрижавська,Вінницька,Вінницький,селищна,49.3097584,28.4730593,13,240.3,19146,0.470072077718584,NA,NA,234.88397448113,167.082181036961,5,0,0,0,378.6,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020250000055470,Сутисківська,Вінницька,Вінницький,селищна,49.0453739,28.418232,3,63.2,6623,0.887362222557753,NA,NA,264.515041503581,143.670821141693,NA,0,0,0,358.4,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020270000044358,Тиврівська,Вінницька,Вінницький,селищна,49.0139727,28.507999,26,420.4,10978,0.353343049735835,NA,NA,267.501820531641,146.113392807869,2,0,0,0,351.5,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020290000092626,Турбівська,Вінницька,Вінницький,селищна,49.339939,28.7260729,22,391.5,15256,0.398793917147352,NA,NA,230.54870060949,182.356502164877,1,0,0,0,370.3,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05020310000080026,Якушинецька,Вінницька,Вінницький,сільська,49.259651,28.36672,17,279.1,16371,0,NA,NA,241.17737924118,157.766658113354,3,0,0,0,379.0,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040010000022470,Бершадська,Вінницька,Гайсинський,міська,48.36594,29.51889,29,870.5,42017,0.290477663802747,NA,NA,330.172450220319,176.329612169249,1,0,0,0,248.7,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040030000050131,Гайсинська,Вінницька,Гайсинський,міська,48.8120874,29.3893874,43,660.4,43573,0.589768893580887,NA,NA,284.035826170787,187.723391295717,11,1,0,0,294.6,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040050000080930,Дашівська,Вінницька,Гайсинський,селищна,49.0062062,29.4416807,24,446.3,14273,0.263574581377426,NA,NA,262.208699617092,201.843667660907,NA,0,0,0,310.9,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040070000093188,Джулинська,Вінницька,Гайсинський,сільська,48.4439535,29.7482193,16,416.1,12553,0,NA,NA,318.50522294313,195.234712642475,NA,0,0,0,245.9,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
UA05040090000093950,Краснопільська,Вінницька,Гайсинський,сільська,48.797123,29.720028,13,326.9,7466,0,NA,NA,280.289700300321,208.727484759499,NA,1,0,0,280.6,False,2026-09-09,5,28,2026-08-29,0.8,oblast_cascade,,Ladyzhynska TPP,0,0.001,0.2002
